CASENUM,VEH_NO,REGION,PSU,PJ,PSU_VAR,URBANICITY,STRATUM,PVE_FORMS,PNUMOCCS,PMONTH,PHOUR,PMINUTE,PHARM_EV,PMAN_COLL,PTYPE,PHIT_RUN,PMAKE,PMODEL,PMAK_MOD,PBODYTYP,PMODYEAR,PVIN,PTRAILER,PMCARR_I1,PMCARR_I2,PMCARR_ID,PGVWR,PV_CONFIG,PCARGTYP,PHAZ_INV,PHAZPLAC,PHAZ_ID,PHAZ_CNO,PHAZ_REL,PBUS_USE,PSP_USE,PEM_USE,PIMPACT1,PVEH_SEV,PTOWED,PM_HARM,PVEH_SC1,PVEH_SC2,PFIRE,PTRLR1VIN,PTRLR2VIN,PTRLR3VIN,PSUSTRAT,WEIGHT
201700388020,2,3,51,1078,51,1,6,1,0,12,22,59,14,0,2,0,20,2,20002,4,2007,2G1WT55N9792,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,1,4,5,12,0,0,0,777777777777,777777777777,777777777777,10,53.08958801
201700388020,3,3,51,1078,51,1,6,1,0,12,22,59,14,0,2,0,35,50,35050,4,2014,3N1CN7AP4EK4,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,5,4,5,12,0,0,0,777777777777,777777777777,777777777777,10,53.08958801
201700388328,2,2,27,900,27,1,10,1,0,12,20,10,14,0,2,0,2,405,2405,14,2005,1J4GL38K85W7,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,6,8,5,12,0,0,0,777777777777,777777777777,777777777777,6,201.4770617
201700388693,2,3,38,573,38,1,10,1,0,12,19,52,14,0,2,0,12,23,12023,4,2015,1FA6P0H71F5,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,9,2,5,12,0,0,0,777777777777,777777777777,777777777777,14,208.6065467
201700388737,1,1,22,1247,22,2,10,1,0,12,23,29,14,0,2,0,12,21,12021,4,2005,1FAHP23155G2,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,7,2,5,12,0,0,0,777777777777,777777777777,777777777777,5,210.87923009
201700388769,2,3,83,2811,83,1,9,1,0,12,18,55,14,0,2,0,42,47,42047,2,2000,WDBLJ65G1YF1,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,12,4,5,12,0,0,0,777777777777,777777777777,777777777777,13,156.0021177
201700388873,2,3,35,2792,35,1,6,1,0,11,23,8,14,0,3,0,42,48,42048,4,2005,WDBUF83J25X1,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,6,4,8,12,0,0,0,777777777777,777777777777,777777777777,13,53.372744356
201700389241,2,3,30,3296,30,1,10,1,0,12,14,30,14,0,2,0,12,24,12024,6,2011,2FMDK3KC2BBA,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,6,6,2,12,0,0,0,777777777777,777777777777,777777777777,14,217.35132147
201700389433,3,4,20,3011,20,2,8,2,1,7,15,37,12,2,2,0,18,2,18002,4,2003,999999999999,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,11,6,2,12,0,0,0,777777777777,777777777777,777777777777,25,121.94656944
201700390094,2,1,50,1646,50,2,10,1,0,11,7,55,14,0,2,0,52,999,52999,49,2016,888888888888,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,6,8,8,12,0,0,0,777777777777,777777777777,777777777777,4,209.31467634
201700390119,2,2,27,900,27,1,9,1,0,12,11,40,14,0,2,0,49,499,49499,19,2016,999999999999,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,12,8,5,12,0,0,0,777777777777,777777777777,777777777777,6,150.88223715
201700390559,2,4,46,362,46,1,10,1,0,12,22,30,14,0,2,0,12,461,12461,21,2008,1FTNE14W18DB,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,7,4,5,12,0,0,0,777777777777,777777777777,777777777777,22,225.00004597
201700390717,2,1,31,1721,31,1,10,1,1,11,12,0,14,0,2,0,52,399,52399,4,2015,888888888888,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,6,2,8,12,0,0,0,777777777777,777777777777,777777777777,2,216.86480122
201700390761,2,1,76,2298,76,1,10,1,0,11,99,99,14,0,2,0,37,31,37031,4,1989,1HGED3654KA0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,7,6,2,12,0,0,0,777777777777,777777777777,777777777777,2,214.67562367
201700390975,2,2,25,2091,25,1,10,1,0,12,18,0,14,0,2,0,37,402,37402,14,2009,5J6RE48309L0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,11,2,5,12,0,0,0,777777777777,777777777777,777777777777,8,201.33723815
201700390988,2,2,67,1919,67,1,2,1,1,12,23,0,14,0,2,0,49,33,49033,9,2003,JTDDR32T1301,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,9,4,5,12,0,0,0,777777777777,777777777777,777777777777,8,23.019097849
201700391045,2,4,46,337,46,1,5,1,0,11,12,30,14,0,2,0,23,422,23422,15,2007,1GKFK66827J3,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,61,4,5,12,0,0,0,777777777777,777777777777,777777777777,22,23.655286838
201700391094,2,1,31,1714,31,1,10,1,0,11,8,25,14,0,2,0,20,399,20399,2,2000,888888888888,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,12,8,8,12,0,0,0,777777777777,777777777777,777777777777,2,216.86480122
201700391094,3,1,31,1714,31,1,10,1,0,11,8,25,14,0,2,0,35,399,35399,4,2001,888888888888,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,6,8,8,12,0,0,0,777777777777,777777777777,777777777777,2,216.86480122
201700391584,2,4,46,337,46,1,10,1,0,12,7,47,14,0,2,0,49,442,49442,20,2014,5TDZK3DC8ES5,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,10,4,5,12,0,0,0,777777777777,777777777777,777777777777,22,225.00004597
201700391813,2,2,67,1919,67,1,10,1,0,12,0,50,14,0,2,0,49,32,49032,4,2017,2T1BURHEXHC8,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,10,2,5,12,0,0,0,777777777777,777777777777,777777777777,8,202.68214761
201700391914,2,3,82,2152,82,2,10,1,0,12,23,7,14,0,2,0,55,35,55035,4,2010,KMHDU4AD8AU0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,6,6,2,12,0,0,0,777777777777,777777777777,777777777777,19,200.99400511
201700393218,2,4,60,257,60,1,10,1,0,10,3,15,14,0,2,0,49,471,49471,34,1988,888888888888,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,6,8,5,12,0,0,0,777777777777,777777777777,777777777777,21,249.38082691
201700393218,3,4,60,257,60,1,10,1,0,10,3,15,14,0,2,0,52,499,52499,14,2004,888888888888,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,6,8,5,12,0,0,0,777777777777,777777777777,777777777777,21,249.38082691
201700393301,2,4,60,257,60,1,10,1,2,11,8,13,14,0,2,0,12,481,12481,34,2015,888888888888,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,10,0,5,12,0,0,0,777777777777,777777777777,777777777777,21,249.38082691
201700393604,3,1,57,2591,57,1,9,2,0,11,13,29,12,6,2,0,20,404,20404,14,2015,2GNFLEEK7F62,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,7,4,3,12,0,0,0,777777777777,777777777777,777777777777,3,162.48924363
201700393759,4,1,57,2582,57,1,6,3,0,11,20,12,12,1,2,0,48,38,48038,5,2018,4S3GTAD65J37,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,11,9,5,12,0,0,0,777777777777,777777777777,777777777777,3,55.481121921
201700393759,5,1,57,2582,57,1,6,3,0,11,20,12,12,1,2,0,48,38,48038,4,2018,4S3GKAL68J36,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,10,9,5,12,0,0,0,777777777777,777777777777,777777777777,3,55.481121921
201700393759,6,1,57,2582,57,1,6,3,0,11,20,12,12,1,2,0,48,38,48038,4,2017,4S3GKAA60H16,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,7,4,5,12,0,0,0,777777777777,777777777777,777777777777,3,55.481121921
