YEAR,VEH_NO,ST_CASE,A_BODY,A_IMP1,A_IMP2,A_VROLL,A_LIC_S,A_LIC_C,A_CDL_S,A_MC_L_S,A_SPVEH,A_SBUS,A_MOD_YR,A_DRDIS,A_DRDRO
1987,1,10165,1,6,6,1,1,1,3,4,2,3,1970,2,2
1987,1,10166,2,2,2,1,1,1,3,4,1,3,1977,2,2
1987,1,10167,1,2,2,2,1,1,3,4,2,3,1983,2,2
1987,2,10167,1,3,3,2,1,1,3,4,1,3,1969,2,2
1987,1,10168,1,2,2,2,1,1,3,4,2,3,1982,2,2
1987,1,10169,2,2,2,1,1,1,3,4,2,3,1955,2,2
1987,1,10170,2,1,1,1,1,1,3,4,2,3,1987,2,2
1987,1,10171,1,2,2,2,2,2,3,4,2,3,1975,2,2
1987,2,10171,6,2,2,2,1,1,3,4,2,3,1980,2,2
1987,1,10172,1,2,2,2,1,1,3,4,2,3,1986,2,2
1987,1,10173,3,3,3,1,1,1,3,4,2,3,1985,2,2
1987,2,10173,1,2,2,2,1,1,3,4,2,3,1982,2,2
1987,1,10174,1,2,2,2,1,1,3,4,2,3,1984,2,2
1987,1,10176,1,2,2,1,2,2,3,4,2,3,1973,2,2
1987,1,10177,2,2,2,2,1,1,3,4,2,3,1980,2,2
1987,1,10178,7,2,2,2,4,1,3,1,1,3,1982,2,2
1987,2,10178,2,2,2,2,1,1,3,4,1,3,1978,2,2
1987,1,10179,1,2,2,1,1,1,3,4,1,3,1976,2,2
1987,1,10180,1,4,4,2,1,1,3,4,2,3,1971,2,2
1987,2,10180,2,2,2,1,1,1,3,4,2,3,1979,2,2
1987,1,10181,1,2,2,2,2,2,3,4,1,3,1987,2,2
1987,1,10182,1,3,3,2,1,1,3,4,2,3,1974,2,2
1987,2,10182,1,2,2,2,1,1,3,4,2,3,1978,2,2
1987,1,10183,2,2,2,1,2,2,3,4,2,3,1985,2,2
1987,2,10183,1,2,2,2,1,1,3,4,1,3,1982,2,2
1987,1,10184,1,2,2,2,1,1,3,4,1,3,1979,2,2
1987,1,10185,1,2,2,2,1,1,3,4,2,3,1980,2,2
1987,1,10186,2,2,2,2,1,1,3,4,2,3,1982,2,2
1987,2,10186,1,2,2,1,1,1,3,4,1,3,1979,2,2
1987,1,10187,2,3,3,2,1,1,3,4,1,3,1969,2,2
1987,1,10188,1,5,5,2,1,1,3,4,2,3,1983,2,2
1987,1,10189,1,5,5,2,2,2,3,4,2,3,1975,2,2
1987,2,10189,6,2,2,2,1,1,3,4,2,3,1982,2,2
1987,3,10189,1,4,4,2,2,2,3,4,2,3,1976,2,2
1987,1,10190,1,2,2,2,1,1,3,4,1,3,1976,2,2
1987,2,10190,1,3,3,2,1,1,3,4,1,3,1972,2,2
1987,1,10191,1,2,2,2,1,1,3,4,2,3,1969,2,2
1987,1,10192,6,2,2,1,1,1,3,4,2,3,1976,2,2
1987,2,10192,1,5,5,2,1,1,3,4,2,3,1975,2,2
1987,1,10193,2,2,2,1,2,2,3,4,1,3,1976,2,2
1987,1,10194,1,2,2,2,1,1,3,4,2,3,1979,2,2
1987,2,10194,3,4,4,1,1,1,3,4,2,3,1983,2,2
1987,1,10195,3,2,2,2,1,1,3,4,1,3,1986,2,2
1987,1,10196,1,2,2,2,1,1,3,4,2,3,1976,2,2
1987,2,10196,1,4,4,2,1,1,3,4,2,3,1982,2,2
1987,3,10196,1,2,2,2,2,2,3,4,1,3,1966,2,2
