CASENUM,VEH_NO,PER_NO,PSU,PJ,STRATUM,NMIMPAIR,URBANICITY,REGION,PSUSTRAT,PSU_VAR,WEIGHT
201600111787,0,1,78,466,2,98,1,3,10,78,28.205634142
201600111883,0,1,78,466,2,98,1,3,10,78,28.205634142
201600111911,0,1,78,466,3,0,1,3,10,78,30.243108402
201600112396,0,1,78,466,2,98,1,3,10,78,28.205634142
201600112540,0,1,78,469,2,98,1,3,10,78,28.205634142
201600112823,0,1,78,469,2,98,1,3,10,78,28.205634142
201600113053,0,1,78,469,2,98,1,3,10,78,28.205634142
201600113754,0,1,59,504,2,98,1,3,10,59,40.571280897
201600114332,0,1,59,504,2,98,1,3,10,59,40.571280897
201600114924,0,1,59,504,2,98,1,3,10,59,40.571280897
201600114924,0,2,59,504,2,98,1,3,10,59,40.571280897
201600115718,0,1,78,454,2,0,1,3,10,78,28.205634142
201600115779,0,1,78,454,2,98,1,3,10,78,28.205634142
201600116063,0,1,78,454,2,98,1,3,10,78,28.205634142
201600116567,0,1,78,454,2,98,1,3,10,78,28.205634142
201600116584,0,1,78,454,2,98,1,3,10,78,28.205634142
201600116941,0,1,78,454,2,98,1,3,10,78,28.205634142
201600117995,0,1,49,260,2,99,1,4,21,49,113.37016067
201600118246,0,1,46,353,2,0,1,4,22,46,29.078645582
201600118451,0,1,46,353,2,0,1,4,22,46,29.078645582
201600118698,0,1,75,1230,2,98,2,3,19,75,21.609418817
201600118753,0,1,28,448,2,98,1,3,11,28,26.308637203
201600118836,0,1,78,453,2,98,1,3,10,78,28.205634142
201600119152,0,1,65,2881,2,0,1,3,13,65,28.376898228
201600119233,0,1,10,329,2,0,1,4,21,10,82.836785936
201600119332,0,1,65,2854,2,98,1,3,13,65,28.376898229
201600119673,0,1,65,2853,2,98,1,3,13,65,28.376898229
201600120383,0,1,46,336,2,0,1,4,22,46,29.078645583
201600120505,0,1,65,2851,2,98,1,3,13,65,28.376898229
201600120732,0,1,12,457,2,98,1,3,12,12,26.183018048
201600121181,0,1,17,1053,2,9,1,3,15,17,24.436881848
201600121456,0,1,17,1053,2,0,1,3,15,17,24.436881848
201600121726,0,1,17,1053,2,9,1,3,15,17,21.266132452
201600121943,0,1,17,1053,2,0,1,3,15,17,24.436881848
201600122274,0,1,17,1053,2,0,1,3,15,17,24.436881848
201600122407,0,1,17,1053,2,98,1,3,15,17,24.436881848
201600122654,0,1,17,1053,2,9,1,3,15,17,24.436881848
201600122823,0,1,17,1053,2,98,1,3,15,17,24.436881848
201600122990,0,1,62,567,2,0,2,3,18,62,26.001904084
201600122990,0,2,62,567,2,0,2,3,18,62,26.001904084
201600123208,0,1,37,3203,2,0,2,4,24,37,42.093845655
201600123218,0,1,37,3200,2,0,2,4,24,37,42.093845655
201600123266,0,1,10,322,2,0,1,4,21,10,50.453748631
201600123279,0,1,46,337,2,0,1,4,22,46,29.078645581
201600123288,0,1,10,322,2,0,1,4,21,10,62.059804025
201600123368,0,1,46,337,2,0,1,4,22,46,29.078645581
201600123390,0,1,46,337,2,0,1,4,22,46,29.078645581
201600123616,0,1,46,337,2,0,1,4,22,46,29.078645581
201600123890,0,1,46,336,2,0,1,4,22,46,29.078645583
201600123932,0,1,46,336,2,0,1,4,22,46,29.078645583
201600123948,0,1,46,336,2,0,1,4,22,46,29.078645583
201600123974,0,1,46,336,2,0,1,4,22,46,29.078645583
201600123981,0,1,46,336,2,0,1,4,22,46,29.078645583
201600124043,0,1,46,336,2,0,1,4,22,46,29.078645583
201600124079,0,1,46,336,2,0,1,4,22,46,29.078645583
201600124085,0,1,46,336,2,0,1,4,22,46,29.078645583
201600124234,0,1,56,206,2,0,1,4,20,206,99.7642174
201600124770,0,1,56,206,2,0,1,4,20,206,99.7642174
201600124968,0,1,33,1484,2,0,1,3,11,33,28.259982016
201600125116,0,1,67,1919,2,0,1,2,8,67,25.220769816
201600126747,0,1,12,457,2,98,1,3,12,12,26.183018048
201600127129,0,1,56,206,2,0,1,4,20,206,99.7642174
201600127241,0,1,56,206,2,0,1,4,20,206,99.7642174
201600127424,0,1,28,432,2,98,1,3,11,28,26.308637204
201600128321,0,1,60,256,2,0,1,4,21,60,54.432709772
201600128323,0,1,60,256,3,0,1,4,21,60,58.199866436
201600128419,0,1,60,256,2,0,1,4,21,60,54.432709772
201600128524,0,1,60,256,2,0,1,4,21,60,54.432709772
201600128549,0,1,28,437,2,98,1,3,11,28,26.308637204
201600128549,0,2,28,437,2,98,1,3,11,28,26.308637204
201600128678,0,1,28,440,2,98,1,3,11,28,26.308637204
201600128755,0,1,28,441,2,98,1,3,11,28,26.308637204
201600129531,0,1,60,256,2,0,1,4,21,60,54.432709772
201600129641,0,1,60,250,2,0,1,4,21,60,113.22249947
201600129795,0,1,46,336,2,0,1,4,22,46,29.078645583
201600129813,0,1,46,336,2,9,1,4,22,46,29.078645583
201600129856,0,1,60,232,2,0,1,4,21,60,54.432709771
201600129858,0,1,65,2857,2,0,1,3,13,65,28.37689823
201600130056,0,1,70,136,2,0,2,3,16,70,28.248233112
201600130134,0,1,60,250,2,0,1,4,21,60,113.22249947
201600130148,0,1,60,250,2,0,1,4,21,60,113.22249947
201600130163,0,1,46,336,2,0,1,4,22,46,29.078645583
201600130192,0,1,46,336,2,0,1,4,22,46,29.078645583
201600130290,0,1,46,336,2,0,1,4,22,46,29.078645583
201600130319,0,1,46,336,2,0,1,4,22,46,29.078645583
201600130641,0,1,37,3200,2,0,2,4,24,37,42.093845655
201600130678,0,1,75,1230,2,0,2,3,19,75,21.609418817
201600130943,0,1,12,455,2,98,1,3,12,12,26.183018048
201600132496,0,1,65,2851,2,98,1,3,13,65,28.376898229
201600132585,0,1,33,1460,2,0,1,3,11,33,28.259982016
201600132847,0,1,17,1053,2,98,1,3,15,17,21.266132452
201600133164,0,1,56,206,2,0,1,4,20,206,99.7642174
201600133384,0,1,56,206,2,0,1,4,20,206,99.7642174
201600133492,0,1,40,3089,2,0,1,3,15,40,46.042834217
201600133502,0,1,40,3073,2,9,1,3,15,40,40.068655937
201600133643,0,1,62,543,2,98,2,3,18,62,26.001904084
201600134133,0,1,56,206,2,0,1,4,20,206,99.7642174
201600134256,0,1,56,206,2,0,1,4,20,206,99.7642174
201600134349,0,1,65,2851,2,98,1,3,13,65,28.376898229
201600134904,0,1,63,2907,2,0,2,3,16,63,26.068788355
201600134938,0,1,59,504,2,0,1,3,10,59,40.571280897
201600135138,0,1,49,268,2,0,1,4,21,49,113.37016067
201600135228,0,1,49,260,2,0,1,4,21,49,113.37016067
201600135238,0,1,17,1053,2,98,1,3,15,17,24.436881848
201600135314,0,1,17,1053,2,98,1,3,15,17,24.436881848
201600135433,0,1,17,1053,2,98,1,3,15,17,24.436881848
201600135479,0,1,17,1053,2,9,1,3,15,17,24.436881848
201600135612,0,1,49,260,2,0,1,4,21,49,113.37016067
201600135714,0,1,17,1053,2,98,1,3,15,17,24.436881848
