YEAR,CASENUM,WEIGHT,A_CRAINJ,A_INTER,A_RELRD,A_INTSEC,A_JUNC,A_MANCOL,A_TOD,A_DOW,A_CT,A_HR,A_LT,A_MC,A_SPCRA,A_PED,A_PEDAL,A_ROLL,A_D15_19,A_D16_19,A_D15_20,A_D16_20,A_D65PLS,A_D21_24,A_D16_24
2016,201600016876,177.64162702,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600016894,427.41720998,3,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1
2016,201600016905,130.17618946,2,2,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1
2016,201600016912,129.82708256,3,2,1,2,2,5,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600016913,146.52410486,3,2,1,2,2,5,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1
2016,201600016915,215.218122,3,2,1,2,2,5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600016919,215.218122,3,2,1,2,2,5,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1
2016,201600016926,130.17618946,2,1,4,2,2,1,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2
2016,201600016941,146.52410486,3,2,1,1,1,2,2,1,3,2,2,2,2,2,2,2,1,1,1,1,2,2,1
2016,201600016943,215.218122,3,2,1,2,3,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600016945,130.17618946,2,2,1,1,1,4,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2016,201600016950,146.52410486,3,2,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2016,201600016963,146.52410486,3,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2016,201600016964,29.895221382,2,2,1,1,1,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1
2016,201600016971,146.52410486,3,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600016975,215.218122,3,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600016981,51.573654892,2,2,1,1,1,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2016,201600016989,215.218122,3,2,1,1,1,5,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2016,201600016995,146.52410486,3,2,1,1,1,5,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600017002,51.573654892,2,2,1,2,2,2,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600017004,130.17618946,2,2,1,1,1,4,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600017006,215.218122,3,2,4,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2
2016,201600017023,27.373814448,4,2,4,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600017057,31.455210339,2,2,3,2,2,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
2016,201600017062,540.79363666,3,2,1,2,3,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
2016,201600017065,157.28668893,2,1,1,2,3,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
2016,201600017069,31.455210339,2,2,1,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600017123,475.61102416,3,2,1,1,1,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2016,201600017143,292.47533004,2,2,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600017146,54.432709771,2,2,1,2,3,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,1,2,2
2016,201600017170,111.52292502,2,2,1,1,1,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2
2016,201600017191,54.432709771,2,2,1,1,1,1,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2
2016,201600017230,111.52292502,2,2,1,1,1,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600017255,54.432709771,3,2,1,2,3,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,1,1
2016,201600017272,111.52292502,2,2,4,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600017282,323.56322855,3,2,1,1,1,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600017286,82.836785936,2,2,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2
2016,201600017314,141.36449051,3,2,1,2,2,5,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1
2016,201600017348,190.36350382,3,2,1,1,1,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2016,201600017363,292.62224233,3,2,3,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
