CASENUM,VEH_NO,PSU,PJ,STRATUM,PVE_FORMS,PNUMOCCS,PMONTH,PHOUR,PMINUTE,PHARM_EV,PMAN_COLL,PTYPE,PHIT_RUN,PMAKE,PMODEL,PMAK_MOD,PBODYTYP,PMODYEAR,PVIN,PTRAILER,PMCARR_I1,PMCARR_I2,PMCARR_ID,PGVWR,PV_CONFIG,PCARGTYP,PHAZ_INV,PHAZPLAC,PHAZ_ID,PHAZ_CNO,PHAZ_REL,PBUS_USE,PSP_USE,PEM_USE,PIMPACT1,PVEH_SEV,PTOWED,PM_HARM,PVEH_SC1,PVEH_SC2,PFIRE,PTRLR1VIN,PTRLR2VIN,PTRLR3VIN,URBANICITY,REGION,PSUSTRAT,PSU_VAR,WEIGHT
201600031027,2,46,362,10,1,0,2,9,13,14,0,2,0,12,402,12402,14,2008,1FMCU92Z38KB,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,62,6,2,12,0,0,0,777777777777,777777777777,777777777777,1,4,22,46,292.62224233
201600031127,2,67,1919,2,1,1,1,21,31,14,0,2,0,2,404,2404,14,1998,1J4GZ58S9WC2,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,9,2,5,12,0,0,0,777777777777,777777777777,777777777777,1,2,8,67,25.220769816
201600031236,3,44,388,6,2,0,2,19,55,12,6,2,0,49,47,49047,6,2007,2T1KR32E07C6,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,62,4,5,12,0,0,0,777777777777,777777777777,777777777777,2,4,25,44,73.193140876
201600031279,2,70,46,9,1,0,3,16,15,14,0,2,0,37,31,37031,4,2010,2HGFA1F51AH3,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,7,4,5,12,0,0,0,777777777777,777777777777,777777777777,2,3,16,70,146.52410486
201600031455,2,46,362,2,1,1,2,12,17,14,0,2,0,19,3,19003,4,1995,1G6KD52B3SU2,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,11,2,5,12,0,0,0,777777777777,777777777777,777777777777,1,4,22,46,29.078645582
201600031543,2,46,362,10,1,0,2,1,32,14,0,2,0,48,45,48045,5,2011,4S4BRBCC0B33,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,6,2,5,12,0,0,0,777777777777,777777777777,777777777777,1,4,22,46,292.62224233
201600031655,2,44,388,8,1,0,2,23,17,14,0,2,0,20,22,20022,4,2007,1G1AK55F2771,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,7,2,5,12,0,0,0,777777777777,777777777777,777777777777,2,4,25,44,186.63475792
201600031683,2,44,388,10,1,0,2,12,35,14,0,2,0,52,46,52046,4,2008,JA3AU16U88U0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,98,6,2,12,0,0,0,777777777777,777777777777,777777777777,2,4,25,44,317.68153186
201600031683,3,44,388,10,1,0,2,12,35,14,0,2,0,20,444,20444,20,2007,1GNDV23187D2,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,12,4,5,12,0,0,0,777777777777,777777777777,777777777777,2,4,25,44,317.68153186
201600031892,2,45,1315,5,1,0,1,10,57,53,0,3,0,12,498,12498,45,2007,999999999999,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,61,6,2,1,0,0,0,777777777777,777777777777,777777777777,2,2,9,45,25.353355831
201600032463,2,46,337,10,1,0,1,18,0,14,0,2,0,59,403,59403,14,2008,JTJHW31U0820,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,11,8,5,12,0,0,0,777777777777,777777777777,777777777777,1,4,22,46,292.62224233
201600032526,2,46,337,7,1,0,1,11,34,14,0,2,0,12,461,12461,21,2014,1FTNE2EW5EDA,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,14,2,5,12,0,0,0,777777777777,777777777777,777777777777,1,4,22,46,190.8074557
201600032564,2,46,337,10,1,0,2,1,58,14,0,2,0,14,401,14401,14,1997,4M2DU55P6VUJ,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,6,2,5,12,0,0,0,777777777777,777777777777,777777777777,1,4,22,46,292.62224233
201600032564,3,46,337,10,1,0,2,1,58,14,0,2,0,37,401,37401,14,2001,4S6DM58WX144,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,6,4,5,12,0,0,0,777777777777,777777777777,777777777777,1,4,22,46,292.62224233
201600032630,2,37,3200,10,1,0,2,16,0,14,0,3,0,12,15,12015,4,1991,1FAPP36X4MK2,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,6,2,5,12,99,99,0,777777777777,777777777777,777777777777,2,4,24,37,322.7347052
201600033245,2,67,1919,9,1,0,1,8,18,33,0,3,0,49,40,49040,4,2012,4T1BF1FK4CU5,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,5,2,5,12,0,0,0,777777777777,777777777777,777777777777,1,2,8,67,153.59094445
201600033947,2,67,1919,10,1,0,1,16,0,14,0,2,0,49,402,49402,14,2006,999999999999,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,7,2,5,12,0,0,0,777777777777,777777777777,777777777777,1,2,8,67,216.49883693
201600034183,2,63,2906,6,1,0,2,19,27,14,0,3,0,7,21,7021,6,2006,2D4FV47T16H2,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,7,6,2,12,0,0,0,777777777777,777777777777,777777777777,2,3,16,63,63.697534598
201600034842,2,65,2881,8,1,1,2,23,5,14,0,2,0,49,33,49033,3,2000,JTDDR32T6Y00,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,12,4,3,12,0,0,0,777777777777,777777777777,777777777777,1,3,13,65,139.83639946
201600034879,2,47,2035,10,1,0,1,6,0,14,0,2,0,20,401,20401,14,2000,1GNDT13W3YK2,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,6,2,5,12,0,0,0,777777777777,777777777777,777777777777,2,2,9,47,290.0455226
201600034991,2,70,46,10,1,1,3,22,20,26,0,2,0,12,481,12481,31,2016,1FT8W3A67GEB,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,6,4,5,12,0,0,0,777777777777,777777777777,777777777777,2,3,16,70,215.218122
201600035194,2,75,1230,10,1,0,1,0,51,14,0,3,0,35,47,35047,4,2014,1N4AL3AP3EC1,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,11,2,5,12,0,0,0,777777777777,777777777777,777777777777,2,3,19,75,205.52548782
201600035443,2,75,1231,10,1,0,2,7,53,14,0,2,0,30,40,30040,4,2003,3VWSK69M33M1,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,12,6,5,12,0,0,0,777777777777,777777777777,777777777777,2,3,19,75,205.52548782
201600035593,2,75,1227,10,1,0,2,17,40,14,0,2,0,20,36,20036,2,2007,2G1WJ15K3792,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,6,6,5,12,0,0,0,777777777777,777777777777,777777777777,2,3,19,75,205.52548782
201600035593,3,75,1227,10,1,0,2,17,40,14,0,2,0,20,481,20481,31,2000,1GCEK19V7YE2,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,6,2,5,12,0,0,0,777777777777,777777777777,777777777777,2,3,19,75,205.52548782
201600035755,2,40,3076,10,1,0,2,8,0,14,0,2,0,20,28,20028,5,2016,1G1JA6SH0G41,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,11,8,5,12,42,0,0,777777777777,777777777777,777777777777,1,3,15,40,438.91425837
