YEAR,STATE,COUNTY,FATALS,ST_CASE,A_CRAINJ,A_REGION,A_RU,A_INTER,A_RELRD,A_INTSEC,A_ROADFC,A_JUNC,A_MANCOL,A_RD,A_TOD,A_DOW,A_HR,A_CT,A_LT,A_MC,A_SPCRA,A_PED,A_PEDAL,A_ROLL,A_POLPUR,A_POSBAC,A_D15_19,A_D16_19,A_D15_20,A_D16_20,A_D65PLS,A_D21_24,A_D16_24,A_DIST,A_DROWSY
1988,1,99,1,10158,1,4,1,2,1,2,4,2,1,3,1,1,2,1,2,2,2,1,2,2,2,3,2,2,2,2,2,2,2,2,2
1988,1,37,1,10159,1,4,1,2,1,1,4,1,4,3,1,1,2,2,1,2,1,2,2,2,2,3,2,2,2,2,1,2,2,2,2
1988,1,5,1,10160,1,4,1,2,1,2,4,2,1,3,2,2,2,1,2,2,2,1,2,2,2,3,2,2,2,2,2,2,2,2,2
1988,1,27,2,10161,1,4,1,2,4,2,6,2,1,3,2,2,2,1,2,2,1,2,2,2,2,2,1,1,1,1,2,2,1,2,2
1988,1,99,1,10162,1,4,1,2,4,2,6,2,1,3,2,2,2,1,2,2,1,2,2,1,2,1,1,1,1,1,2,2,1,2,1
1988,1,1,1,10163,1,4,1,1,4,2,1,2,1,3,2,1,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2
1988,1,15,1,10164,1,4,1,2,1,2,6,2,3,3,1,1,2,2,2,1,2,2,2,2,2,3,1,1,1,1,2,2,1,2,2
1988,1,97,1,10165,1,4,2,2,1,1,3,1,4,3,2,2,2,2,2,2,2,2,2,2,2,3,1,1,1,1,2,2,1,2,2
1988,1,97,1,10166,1,4,2,2,4,2,6,2,1,3,2,1,2,1,2,2,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2
1988,1,3,3,10167,1,4,1,2,4,2,5,2,1,3,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2
1988,1,3,2,10168,1,4,1,2,1,2,5,2,3,3,1,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,2,2
1988,1,97,1,10169,1,4,1,2,1,1,6,1,4,3,2,1,2,3,2,2,2,2,2,1,2,3,1,1,1,1,2,2,1,2,2
1988,1,69,1,10170,1,4,2,2,1,1,3,1,4,3,1,1,2,2,1,2,2,2,2,2,2,3,2,2,1,1,2,2,1,2,2
1988,1,21,1,10171,1,4,1,2,1,2,4,2,3,3,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,1,2,2
1988,1,87,1,10172,1,4,1,1,4,2,1,2,1,3,2,1,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2
1988,1,55,1,10173,1,4,2,2,1,1,3,1,1,3,2,1,1,1,2,2,2,1,2,2,2,3,1,1,1,1,2,2,1,2,2
1988,1,57,1,10174,1,4,1,2,1,2,4,2,2,3,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2
1988,1,97,3,10175,1,4,2,2,4,2,3,2,1,3,2,2,2,1,2,2,2,2,2,1,2,1,2,2,1,1,2,2,1,2,2
1988,1,81,1,10176,1,4,2,2,1,2,5,2,3,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2
1988,1,97,1,10177,1,4,2,2,1,2,3,2,2,3,1,1,2,2,2,2,2,2,2,1,2,3,2,2,2,2,1,1,1,2,2
1988,1,89,2,10178,1,4,1,2,1,1,3,1,4,3,1,2,2,2,2,2,2,2,2,1,2,1,2,2,1,1,2,2,1,2,2
1988,1,41,1,10179,1,4,1,2,4,2,5,2,1,3,1,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2
